,mean price
2011-10-01,11.987519054960217
2011-11-01,11.9854921730699
2011-12-01,11.983807412206948
2012-01-01,11.982444873334808
2012-02-01,11.981439284840592
2012-03-01,11.981731856878902
2012-04-01,11.983593127255123
2012-05-01,11.986277476885887
2012-06-01,11.988876035617672
2012-07-01,11.991480156947384
2012-08-01,11.994016268059427
2012-09-01,11.996655981541524
2012-10-01,11.999431865816748
2012-11-01,12.002709661747971
2012-12-01,12.006242501959905
2013-01-01,12.009690009604933
2013-02-01,12.013279712063076
2013-03-01,12.017800189846255
2013-04-01,12.023100574627136
2013-05-01,12.028683206063576
2013-06-01,12.034390986075568
2013-07-01,12.040205830405734
2013-08-01,12.045533981035732
2013-09-01,12.050030991892585
2013-10-01,12.0539801825035
2013-11-01,12.057749044197845
2013-12-01,12.061201058928825
