,sigma2,predicted_mean,lower_conf_mean
1432,5.3153030580189105e-06,0.004116675603589313,-0.005978712515215618
1440,4.61039043021883e-06,0.005032966623951765,-0.0024242522077783336
1450,4.652382489018716e-06,0.003396222367584659,-0.004085743713480532
1452,4.892087211788728e-06,0.004072074256114051,-0.004928169478205006
1453,3.8370086457879945e-06,0.003521105127333187,-0.01556479478756804
1460,3.7122670920245653e-06,-0.0017730254224675027,-0.03563559961844498
1462,5.270891986091576e-06,0.0031895273285413115,-0.033089176897937014
1463,3.478295098260037e-06,0.004314584971673099,-0.0034050790770944325
1464,5.0804938568001205e-06,0.0038901835076170428,-0.008037549179640287
1468,4.182392852471999e-06,0.00494565552469663,-0.002937894392749443
1469,3.936827770017986e-06,0.004222777163135075,-0.003920532846158601
1473,6.532766626729038e-06,0.004752431857732138,-0.004880690331809003
1474,6.405700530476524e-06,0.004708556067246141,-0.0051121711656296
1475,6.251373379390455e-06,0.004819358351660201,-0.007846858436932507
1501,3.408310075164225e-06,0.0041542671594887665,-0.0021561119778737755
1503,5.118920340268137e-06,0.0044167780128519,-0.0030568115264390547
1504,5.043562864678266e-06,0.004416939131659385,-0.0036916226095784726
1505,7.04619846201775e-06,0.004010482066159811,-0.0067538466595876605
1506,1.0144200473117478e-05,0.0032451632285769327,-0.007433200350659772
1507,3.932012671575554e-06,0.006249731405413619,-0.0030974454984310884
1510,6.504898243042324e-06,0.00881116780880123,-0.007403564006176414
1515,,,
1516,5.7371422288893464e-06,0.0043766208440529355,-0.003165496437421383
1518,5.368935579322609e-06,0.0038669973142802703,-0.003492774646151041
1519,4.507296545879793e-06,0.0034971298097430303,-0.0041837832200388924
1520,4.377420441004326e-06,0.0018804731414792358,-0.015735483090947463
1521,1.1649209892534691e-05,0.0056770149542281784,-0.00822930634870721
1522,4.819563105663239e-06,0.006884997225163294,-0.013090334373334112
1523,4.049767510067099e-06,0.0041558656274030895,-0.0043029203707170855
1524,4.668639571389106e-06,0.004494316586227796,-0.0037162224178655793
1527,3.5377233433690706e-06,0.00448277941497192,-0.0019833542281083114
1529,7.151615373545187e-06,0.004288536245195008,-0.006856536420036685
