,sigma2,predicted_mean,lower_conf_mean
1106,3.230362333588293e-06,0.001653711504073865,-0.014737047225026592
1107,6.153718789928692e-06,0.0031124561480533747,-0.010876622592827592
1108,5.3659308618606725e-06,0.003908912578319182,-0.009489586342965671
1109,1.1816128453672326e-05,0.003908473450134665,-0.02311221944182499
1118,3.6989401742625172e-06,0.0034555402791565455,-0.012027050761396959
1119,6.1100165394708655e-06,0.005443133315189233,-0.008991611228599273
1128,4.01970714451418e-06,0.0037133826576819687,-0.007806561053583766
1129,3.6017867694690764e-06,0.0035803719060394524,-0.009626336751096762
1151,6.887834853239583e-06,0.000696621559524154,-0.017813224087473604
1201,2.6099410829769864e-06,0.0019243167757697402,-0.009572821542296994
1220,4.04264470088901e-06,0.0029697825837078124,-0.011081200908411004
1223,9.110661412959074e-06,0.002503595325934894,-0.01743245207123139
1225,4.498168274349892e-06,0.005019831819161669,-0.012214189995638934
1226,2.9334947291549293e-06,0.0012646259620253436,-0.009491467000105685
1230,5.537130388459405e-06,0.003228907439180246,-0.014180743834355674
1235,6.951312641859063e-06,0.004546805871587011,-0.011232768355663397
1238,6.3619153311705e-06,0.0017270589988260929,-0.017354407037919385
1240,4.486726471960014e-06,0.0013435204595761583,-0.01677529896983869
1245,1.5943760888410004e-05,0.002589299844072582,-0.020826291462662117
1247,6.176918504578176e-06,0.0005999372794771591,-0.013570534915581831
1254,1.0596678454335013e-05,0.0010447021219913478,-0.021572276743988053
1255,1.585523320044313e-05,0.0038597483580913782,-0.02029756862789416
1257,1.0456054524009361e-05,0.0016886564115507663,-0.018434621808667857
1262,1.0791059455030453e-05,0.000871137960870368,-0.03992976474016429
1266,1.2702773161832152e-05,0.001040618795859388,-0.020955970418666182
1267,1.596432925821843e-05,0.0069702566589806446,-0.02628364361736114
1270,1.3778825501885457e-05,0.003423768003950062,-0.022066319213842955
1301,7.140268298508962e-06,-0.0029051909482531147,-0.027825649437228428
1330,8.52590071646027e-06,0.00023566689672728595,-0.016274581564344075
1331,9.02801376101534e-06,0.006396400441708889,-0.013607822465607636
1337,6.127961420789946e-06,0.0002613799924007331,-0.014158921858667121
1338,9.255109351671896e-06,0.0020955046705130264,-0.014148959089818001
1339,7.763353271434548e-06,-0.0009438606314145458,-0.018105640948254675
1340,8.896046016770282e-06,-0.00019582686363112852,-0.015677467500773024
1341,7.139125219515546e-06,-1.6564771753640726e-05,-0.016404141804089636
1344,7.947100373144983e-06,-0.0014162888729195822,-0.020717176191916674
1351,8.3354275772806e-06,0.0014387912761463268,-0.014814351493991013
1354,6.33477331525751e-06,0.0005504679868162841,-0.013786011763843382
1360,8.088455352611421e-06,0.0012498605816198553,-0.014675144138994388
1364,1.097724500622512e-05,-9.310032344391548e-05,-0.019591980543665448
1366,6.505427953062804e-06,0.0028301999441293136,-0.012189611652598718
1368,6.558576097453011e-06,0.0035700271017984476,-0.01455186474107985
1370,7.229489150718217e-06,0.003075247096019383,-0.012146977578965998
1373,5.888133651654191e-06,0.0007566937768153927,-0.013682998272655752
1375,6.179846423131925e-06,0.0006858007410392501,-0.014917392986048704
1376,7.50931294718777e-06,-0.0007389971699218369,-0.015715979269112938
1420,3.684447983684983e-06,0.0019184481790838457,-0.016066806516787865
1430,5.4101034277031025e-06,0.0027331404326970967,-0.01802523015872149
1431,7.316085923085305e-06,0.00017945239990245558,-0.01979358861751963
1432,3.295259222203145e-06,0.004169363082623559,-0.009063878677624482
1440,4.113610493494813e-06,0.002513653695726555,-0.0178037156010827
1450,2.3210661025555246e-06,0.001982932799353742,-0.008606135165538941
1452,3.839732839754367e-06,0.002511659248825901,-0.011791336474424919
