Region Name,Region Name (group),National Average,P2R,Zhvi
"Racine, WI",Other,11.44,10.32,"$150,700"
"Punta Gorda, FL",Other,11.44,9.4,"$205,500"
"Pueblo, CO",Other,11.44,10.52,"$136,700"
"Provo, UT",Other,11.44,14.92,"$254,400"
"Providence, RI",Other,11.44,13.47,"$263,200"
"Prineville, OR",Other,11.44,13.65,"$227,900"
"Prescott, AZ",Other,11.44,15.19,"$265,700"
"Pottsville, PA",Other,11.44,8.37,"$74,700"
"Portsmouth, OH",Other,11.44,7.33,"$75,700"
"Portland, OR","Boston, MA, Los Angeles-Long Beach-Anaheim, CA, New York, NY and 6 more",11.44,15.94,"$358,700"
"Port St. Lucie, FL",Other,11.44,11.05,"$200,800"
"Port Lavaca, TX",Other,11.44,8.18,"$122,400"
"Port Angeles, WA",Other,11.44,14.47,"$240,600"
"Plymouth, IN",Other,11.44,9.64,"$124,800"
"Plattsburgh, NY",Other,11.44,6.53,"$116,500"
"Platteville, WI",Other,11.44,9.85,"$126,300"
"Pittsfield, MA",Other,11.44,10.5,"$200,500"
"Pittsburgh, PA",Other,11.44,10.46,"$135,600"
"Pine Bluff, AR",Other,11.44,8.54,"$75,500"
"Picayune, MS",Other,11.44,9.72,"$129,200"
"Phoenix, AZ",Other,11.44,14.48,"$231,700"
"Philadelphia, PA",Other,11.44,11.2,"$215,400"
"Peru, IN",Other,11.44,7.64,"$76,600"
"Peoria, IL",Other,11.44,9.2,"$114,400"
"Pensacola, FL",Other,11.44,11.26,"$151,700"
"Payson, AZ",Other,11.44,12.71,"$184,500"
"Paris, TX",Other,11.44,6.13,"$80,900"
"Paris, TN",Other,11.44,8.74,"$97,200"
"Paragould, AR",Other,11.44,9.69,"$106,000"
"Panama City, FL",Other,11.44,11.7,"$184,800"
"Palatka, FL",Other,11.44,9.9,"$112,800"
"Paducah, KY",Other,11.44,8.8,"$96,700"
"Oxford, NC",Other,11.44,10.89,"$145,700"
"Oxford, MS",Other,11.44,10.93,"$176,200"
"Owatonna, MN",Other,11.44,10.72,"$156,900"
"Othello, WA",Other,11.44,10.9,"$139,200"
"Oshkosh, WI",Other,11.44,13.43,"$155,200"
"Orlando, FL",Other,11.44,11.83,"$201,900"
"Orangeburg, SC",Other,11.44,7.79,"$83,200"
"Opelousas, LA",Other,11.44,9.32,"$122,500"
"Oneonta, NY",Other,11.44,7.8,"$122,900"
"Omaha, NE",Other,11.44,9.87,"$154,400"
"Olympia, WA",Other,11.44,14.03,"$263,400"
"Olean, NY",Other,11.44,5.52,"$73,000"
"Oklahoma City, OK",Other,11.44,10.57,"$137,200"
"Okeechobee, FL",Other,11.44,7.77,"$117,600"
"Oil City, PA",Other,11.44,6.86,"$76,600"
"Ogden, UT",Other,11.44,13.34,"$221,600"
"Ocean City, NJ",Other,11.44,15.55,"$340,700"
"Ocala, FL",Other,11.44,10.51,"$133,800"
"Oak Harbor, WA",Other,11.44,17.17,"$336,500"
"North Vernon, IN",Other,11.44,9.15,"$101,800"
"North Port-Sarasota-Bradenton, FL",Other,11.44,11.09,"$246,700"
"North Platte, NE",Other,11.44,10.38,"$144,100"
"Norfolk, NE",Other,11.44,10.36,"$148,000"
"Nogales, AZ",Other,11.44,10.71,"$131,300"
"Niles, MI",Other,11.44,10.38,"$130,300"
"Newport, TN",Other,11.44,7.44,"$71,500"
"New York, NY","Boston, MA, Los Angeles-Long Beach-Anaheim, CA, New York, NY and 6 more",11.44,13.33,"$407,600"
"New Philadelphia, OH",Other,11.44,9.86,"$117,600"
"New London, CT",Other,11.44,11.87,"$219,000"
"New Haven, CT",Other,11.44,11.05,"$218,400"
"New Castle, PA",Other,11.44,10.31,"$88,100"
"New Castle, IN",Other,11.44,7.78,"$73,600"
"Natchitoches, LA",Other,11.44,9.83,"$135,000"
"Nashville, TN",Other,11.44,12.05,"$210,400"
"Naples, FL",Other,11.44,8.47,"$335,600"
"Napa, CA",Other,11.44,18.13,"$585,900"
"Nacogdoches, TX",Other,11.44,7.95,"$115,400"
"Myrtle Beach, SC",Other,11.44,11.07,"$166,500"
"Muskegon, MI",Other,11.44,9.82,"$110,200"
"Muscatine, IA",Other,11.44,10.44,"$135,600"
"Murray, KY",Other,11.44,11.75,"$141,800"
"Muncie, IN",Other,11.44,8.22,"$79,900"
"Mount Vernon, WA",Other,11.44,15.33,"$291,400"
"Moultrie, GA",Other,11.44,7.78,"$84,600"
"Moses Lake, WA",Other,11.44,11.5,"$133,400"
"Morristown, TN",Other,11.44,10.49,"$118,700"
"Morehead City, NC",Other,11.44,15.79,"$246,300"
"Montrose, CO",Other,11.44,14.68,"$207,300"
"Montgomery, AL",Other,11.44,9.83,"$111,400"
"Monroe, MI",Other,11.44,12.15,"$152,500"
"Modesto, CA",Other,11.44,15.63,"$265,200"
"Mobile, AL",Other,11.44,9.58,"$110,200"
"Moberly, MO",Other,11.44,8.38,"$84,500"
"Missoula, MT",Other,11.44,15.13,"$244,800"
"Minot, ND",Other,11.44,12.57,"$203,900"
"Minneapolis-St Paul, MN",Other,11.44,12.63,"$239,700"
"Milwaukee, WI",Other,11.44,11.25,"$209,900"
"Midland, TX",Other,11.44,9.08,"$191,200"
"Midland, MI",Other,11.44,10.17,"$124,400"
"Middlesborough, KY",Other,11.44,7.92,"$78,600"
"Miami-Fort Lauderdale, FL",Other,11.44,10.98,"$248,600"
"Mexico, MO",Other,11.44,9.04,"$96,600"
"Merced, CA",Other,11.44,15.35,"$223,000"
"Memphis, TN",Other,11.44,9.13,"$116,800"
"Melbourne, FL",Other,11.44,11.13,"$182,500"
"Medford, OR",Other,11.44,14.47,"$254,700"
"McMinnville, TN",Other,11.44,8.36,"$82,800"
"McAlester, OK",Other,11.44,9.27,"$92,800"
"Martinsville, VA",Other,11.44,7.56,"$80,300"
"Martin, TN",Other,11.44,7.45,"$76,200"
"Marion, OH",Other,11.44,8.74,"$89,700"
"Marion, NC",Other,11.44,10.43,"$119,600"
"Marion, IN",Other,11.44,7.3,"$67,700"
"Marinette, WI",Other,11.44,8.52,"$96,400"
"Mansfield, OH",Other,11.44,10.04,"$89,900"
"Mankato, MN",Other,11.44,11.12,"$178,700"
"Manchester, NH",Other,11.44,11.34,"$250,200"
"Malone, NY",Other,11.44,5.22,"$80,800"
"Madisonville, KY",Other,11.44,9.7,"$97,600"
"Madison, WI",Other,11.44,12.53,"$227,500"
"Madison, IN",Other,11.44,9.5,"$110,100"
"Madera, CA",Other,11.44,15.23,"$221,100"
"Macon, GA",Other,11.44,8.68,"$107,100"
"Macomb, IL",Other,11.44,6.93,"$75,000"
"Lynchburg, VA",Other,11.44,11.54,"$146,700"
"Ludington, MI",Other,11.44,9.51,"$116,800"
"Louisville-Jefferson County, KY",Other,11.44,10.87,"$148,700"
"Los Angeles-Long Beach-Anaheim, CA","Boston, MA, Los Angeles-Long Beach-Anaheim, CA, New York, NY and 6 more",11.44,18.22,"$599,400"
"Longview, WA",Other,11.44,10.18,"$164,300"
"Logansport, IN",Other,11.44,7.48,"$71,900"
"Lock Haven, PA",Other,11.44,12.18,"$144,300"
"Little Rock, AR",Other,11.44,10.67,"$130,800"
"Lincoln, NE",Other,11.44,10.45,"$156,400"
"Lima, OH",Other,11.44,8.69,"$93,300"
"Lexington, KY",Other,11.44,11.43,"$154,900"
"Lewiston, ID",Other,11.44,12.06,"$181,700"
"Lewisburg, TN",Other,11.44,9.53,"$114,500"
"Lebanon, PA",Other,11.44,12.45,"$161,100"
"Lebanon, MO",Other,11.44,11.4,"$111,600"
"Lawrenceburg, TN",Other,11.44,8.54,"$94,700"
"Lawrence, KS",Other,11.44,10.99,"$170,300"
"Laurel, MS",Other,11.44,8.82,"$104,400"
"Las Vegas, NV",Other,11.44,14.36,"$217,800"
"Las Cruces, NM",Other,11.44,11.51,"$136,800"
"Laredo, TX",Other,11.44,9.04,"$120,400"
"Lansing, MI",Other,11.44,9.59,"$137,600"
"Lancaster, PA",Other,11.44,13.47,"$190,100"
"Lakeland, FL",Other,11.44,10.73,"$156,600"
"Lake Havasu City, AZ",Other,11.44,13.36,"$180,100"
"Lake City, FL",Other,11.44,9,"$122,700"
"Lake Charles, LA",Other,11.44,9.53,"$161,900"
"Lafayette, LA",Other,11.44,9.57,"$138,400"
"Lafayette-West Lafayette, IN",Other,11.44,9.37,"$126,600"
"Laconia, NH",Other,11.44,12.69,"$208,800"
"La Grande, OR",Other,11.44,11.3,"$171,800"
"La Crosse, WI",Other,11.44,11,"$154,100"
"Kokomo, IN",Other,11.44,8.78,"$85,600"
"Knoxville, TN",Other,11.44,10.87,"$144,200"
"Klamath Falls, OR",Other,11.44,12.71,"$150,700"
"Kingston, NY",Other,11.44,9.99,"$192,200"
"Kingsport, TN",Other,11.44,10.71,"$118,600"
"Killeen, TX",Other,11.44,9.34,"$118,200"
"Key West, FL",Other,11.44,13.88,"$555,700"
"Ketchikan, AK",Other,11.44,11.81,"$232,500"
"Kennewick, WA",Other,11.44,13.72,"$228,200"
"Kendallville, IN",Other,11.44,9.26,"$113,500"
"Keene, NH",Other,11.44,10.66,"$179,000"
"Kapaa, HI",Other,11.44,18.57,"$515,200"
"Kansas City, MO",Other,11.44,9.98,"$154,600"
"Kankakee, IL",Other,11.44,8.92,"$122,700"
"Kalamazoo, MI",Other,11.44,9.5,"$138,600"
"Kahului, HI",Other,11.44,18.89,"$603,600"
"Juneau, AK",Other,11.44,13.87,"$318,000"
"Joplin, MO",Other,11.44,9.62,"$88,500"
"Jonesboro, AR",Other,11.44,9.39,"$105,500"
"Johnson City, TN",Other,11.44,10.71,"$121,600"
"Jesup, GA",Other,11.44,8.8,"$106,400"
"Jefferson, GA",Other,11.44,11.36,"$179,300"
"Jefferson City, MO",Other,11.44,11.95,"$128,900"
"Jasper, IN",Other,11.44,10.21,"$125,100"
"Janesville, WI",Other,11.44,11.41,"$135,100"
"Jamestown, ND",Other,11.44,11.29,"$163,300"
"Jacksonville, NC",Other,11.44,11.97,"$129,400"
"Jacksonville, IL",Other,11.44,7.22,"$86,500"
"Jacksonville, FL",Other,11.44,11.35,"$178,500"
"Jackson, TN",Other,11.44,8.42,"$90,700"
"Jackson, OH",Other,11.44,8.22,"$87,800"
"Jackson, MS",Other,11.44,8.75,"$124,700"
"Jackson, MI",Other,11.44,10.29,"$118,600"
"Ithaca, NY",Other,11.44,11.27,"$205,800"
"Indianapolis, IN",Other,11.44,9.61,"$137,100"
"Idaho Falls, ID",Other,11.44,11.37,"$150,500"
"Huntsville, AL",Other,11.44,11.62,"$152,100"
"Huntington, WV",Other,11.44,8.35,"$99,000"
"Huntington, IN",Other,11.44,8.29,"$88,500"
"Huntingdon, PA",Other,11.44,9.24,"$119,000"
"Hudson, NY",Other,11.44,10.86,"$217,000"
"Houston, TX",Other,11.44,9.28,"$175,200"
"Houma, LA",Other,11.44,11.06,"$143,900"
"Hot Springs, AR",Other,11.44,10.95,"$134,400"
"Hood River, OR",Other,11.44,18.31,"$391,200"
"Homosassa Springs, FL",Other,11.44,10.21,"$138,700"
"Holland, MI",Other,11.44,11.09,"$157,700"
"Hinesville, GA",Other,11.44,8.88,"$108,000"
"Hilton Head Island, SC",Other,11.44,12.28,"$276,800"
"Hilo, HI",Other,11.44,17.27,"$345,900"
"Hillsdale, MI",Other,11.44,10.03,"$120,600"
"Hickory, NC",Other,11.44,9.69,"$108,600"
"Hermiston-Pendleton, OR",Other,11.44,11.12,"$155,300"
"Henderson, NC",Other,11.44,8.48,"$91,500"
"Hattiesburg, MS",Other,11.44,9.61,"$129,600"
"Hartford, CT",Other,11.44,10.97,"$220,400"
"Harrisonburg, VA",Other,11.44,15.23,"$196,300"
"Harrison, AR",Other,11.44,9.87,"$106,600"
"Harrisburg, PA",Other,11.44,11.2,"$167,200"
"Hanford, CA",Other,11.44,13.27,"$180,800"
"Hammond, LA",Other,11.44,10.02,"$150,500"
"Hagerstown, MD",Other,11.44,11.77,"$162,700"
"Gulfport, MS",Other,11.44,8.93,"$109,000"
"Grenada, MS",Other,11.44,8.21,"$97,100"
"Greenville, SC",Other,11.44,10.25,"$150,700"
"Greensburg, IN",Other,11.44,9.22,"$109,900"
"Greensboro, NC",Other,11.44,10.54,"$126,300"
"Greenfield Town, MA",Other,11.44,9.67,"$201,200"
"Greeneville, TN",Other,11.44,9.82,"$89,400"
"Green Bay, WI",Other,11.44,11.94,"$156,700"
"Greeley, CO",Other,11.44,14.08,"$269,000"
"Great Falls, MT",Other,11.44,11.19,"$158,000"
"Grants Pass, OR",Other,11.44,15.98,"$235,400"
"Grand Rapids, MI",Other,11.44,10.65,"$165,200"
"Grand Junction, CO",Other,11.44,14,"$200,400"
"Grand Island, NE",Other,11.44,10.16,"$135,400"
"Grand Forks, ND",Other,11.44,10.43,"$149,500"
"Gloversville, NY",Other,11.44,7.09,"$116,100"
"Glenwood Springs, CO",Other,11.44,14.08,"$473,800"
"Glens Falls, NY",Other,11.44,8.22,"$162,400"
"Georgetown, SC",Other,11.44,12.11,"$213,800"
"Gardnerville Ranchos, NV",Other,11.44,15.2,"$366,800"
"Garden City, KS",Other,11.44,10.85,"$134,400"
"Gallup, NM",Other,11.44,9.82,"$125,400"
"Galesburg, IL",Other,11.44,6.01,"$70,800"
"Gainesville, GA",Other,11.44,10.81,"$164,000"
"Gainesville, FL",Other,11.44,10.47,"$161,400"
"Gadsden, AL",Other,11.44,9.51,"$98,900"
"Fresno, CA",Other,11.44,14.13,"$219,500"
